,resources_gathered_total,resources_returned_total,resource_return_success_rate,resources_spent_total,units_produced_total,units_lost_total,units_killed_total,damage_dealt_total,damage_taken_total,value_produced_total,value_lost_total,value_killed_total,max_army_value,mean_unit_value_advantage,average_distance_to_resource,shortest_distance_to_resource,distance_to_enemy_base,duration,win
resources_gathered_total,1.0,0.9505424546068855,0.5861218827612998,0.8127669186107686,0.8541170784401589,0.6373459608623522,0.6858867574817008,0.04697590323041439,-0.03377181184552831,0.8553515670976097,0.42796861875097153,0.4746175642430441,0.06843642801802673,0.0793982048945129,-0.13067619935988514,-0.15672626281562854,0.2116488421729042,0.38635931893594866,0.014274312449904356
resources_returned_total,0.9505424546068855,1.0,0.6969034204160662,0.7544840693290977,0.7639216934856295,0.5433696192330117,0.5755568281579032,0.07145968512750994,-0.05496656794457372,0.7676806038365621,0.36971813513192153,0.4244229118470843,0.08295748624381913,0.09878222986922339,-0.14799800464720247,-0.16965881803161262,0.14208074767555479,0.34817314638985275,0.04234369787196931
resource_return_success_rate,0.5861218827612998,0.6969034204160662,1.0,0.4638758286278864,0.455876949660444,0.24031087310721228,0.27569874866330873,0.13714646134876185,-0.11239198949937639,0.4576029042163233,0.1436211097962258,0.2744652193638921,0.04773047373550405,0.18630595350993423,-0.21142367522406563,-0.1907334207245418,-0.01461494548717279,0.19683109702551824,0.11497074654866775
resources_spent_total,0.8127669186107686,0.7544840693290977,0.4638758286278864,1.0,0.9722404270129029,0.741162507862252,0.7788495798925886,-0.018496892314811164,0.016431787018634143,0.9744382089031588,0.478599394919712,0.5108255210301668,0.11161753592244684,0.10998606580389597,-0.01788898978546603,-0.045667212528856374,0.22309761756633958,0.5323691398319853,-0.06506019270220707
units_produced_total,0.8541170784401589,0.7639216934856295,0.455876949660444,0.9722404270129029,1.0,0.7690535249939557,0.8117860566979093,-0.005096630115244811,0.007434660750222009,0.9970817799908244,0.5018735752609191,0.5386598142338741,0.0653214696632986,0.09874246593214138,-0.04363510950005552,-0.06487179666910872,0.21861307855899687,0.5157327052969437,-0.0480025156003187
units_lost_total,0.6373459608623522,0.5433696192330117,0.24031087310721228,0.741162507862252,0.7690535249939557,1.0,0.8833964814198073,-0.3839699037550346,0.4547468652933208,0.7630305912067434,0.8467046728859093,0.37227121603213814,-0.0012990510904953962,-0.37128789450254407,0.013189164273288582,-0.03848205495565753,0.18733522610621398,0.4404324908470914,-0.46291031602830024
units_killed_total,0.6858867574817008,0.5755568281579032,0.27569874866330873,0.7788495798925886,0.8117860566979093,0.8833964814198073,1.0,-0.15302313664592154,0.19196465093240933,0.8063288599866352,0.6295566074055766,0.5858243173737648,0.005216333709223618,-0.19360936597245149,0.016940084399675103,-0.029967855194681148,0.22403130670936433,0.4078685917988039,-0.1779661334764705
damage_dealt_total,0.04697590323041439,0.07145968512750994,0.13714646134876185,-0.018496892314811164,-0.005096630115244811,-0.3839699037550346,-0.15302313664592154,1.0,-0.7212425740192677,-0.0035050843695508586,-0.5483730612723624,0.4834424102736951,0.015578682491740947,0.6706141882715232,-0.04937834711416472,-0.014043296011884107,-0.11498536481669257,-0.2293033950091777,0.8223078630416562
damage_taken_total,-0.03377181184552831,-0.05496656794457372,-0.11239198949937639,0.016431787018634143,0.007434660750222009,0.4547468652933208,0.19196465093240933,-0.7212425740192677,1.0,0.006491131134737591,0.706724498524466,-0.3017233027592704,-0.006446364165330681,-0.6566067051809591,-0.022905079935832927,0.0021580501307636433,-0.0014555875353119297,0.1347868086956006,-0.8626506954926465
value_produced_total,0.8553515670976097,0.7676806038365621,0.4576029042163233,0.9744382089031588,0.9970817799908244,0.7630305912067434,0.8063288599866352,-0.0035050843695508586,0.006491131134737591,1.0,0.4979310041312464,0.5365857075350552,0.125366741601104,0.10614540664126201,-0.04296313398486936,-0.06604300076905852,0.21837617875852258,0.5178397764367325,-0.04679923226974017
